0	1204	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/uziMaZduzV
0	989	RT @ccdeditor: Why The Global Warming Movement Is Political, Not Scientific https://t.co/mpmIO3vVe1 https://t.co/WAsF9VfhZG
0	4258	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	4255	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	7733	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	1622	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	7831	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	5970	RT @mzjacobson: “For 60 years, the fossil fuel industry has known about global warming dangers of their products. Instead of warning the pu…
0	6617	RT @gilmcgowan: Harvard report: “For 60 years, the fossil fuel industry has known about the..global warming dangers of their products. But…
0	4029	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	6110	RT @mzjacobson: “For 60 years, the fossil fuel industry has known about global warming dangers of their products. Instead of warning the pu…
0	7032	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9704	@zenzele Global warming is real
0	4143	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	8733	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	3655	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	7355	Let me guess....he'll apologize for that dick move and his cult global warming zombie followers will forgive him...… https://t.co/nBiIjtJvxZ
0	9157	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	4043	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	762	@campusmoviefest are we experiencing global warming or is it just you? Wait .. no ... #cmfatusfca
0	4875	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	4224	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	7124	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	8205	@dbongino Only global warming I see and believe are the looney Democrats totally unhinged..
0	8482	RT @mzjacobson: “For 60 years, the fossil fuel industry has known about global warming dangers of their products. Instead of warning the pu…
1	5513	RT @JenitaM: Getting schooled at #SustainableBizSummit lunch by MIT Prof Sterman’s Climate Interactive tool. Keeping global warming under 2…
1	8138	RT @LarrySchweikart: Stuart Varney: Trump speech in natural gas-rich state may turn the tables on Democrats https://t.co/3JxDYzNKeG #FoxNew…
1	8410	RT @BLaw: New York’s AG will square off against Exxon in a 3-week trial starting today over whether the oil giant cooked its books when it…
1	9913	"RT @WesDunn9: Will be Interesting to see if those Eco psychos will be out protesting about global warming next week.  🤔

https://t.co/Y4Uzd…"
1	205	"https://t.co/Og0Ktq4gQR: Why a Growing Greenland Glacier Doesn't Mean Good News for Global Warming.
https://t.co/dvezPMC5W5

via @GoogleNews"
1	5442	"RT @JunkScience: Trees contribute to global warming. 

That's what the climate bedwetting IPCC says. 

https://t.co/8GlHAuu6aP
 https://t.c…"
1	9410	Exxon is charged with being too alarmist in public about the risk of global warming. Sad abuse of the law by state… https://t.co/Po9Hq37tyC
1	8107	RT @EnableUsProject: Sentinel. A multi sensory journey through the present and future effects of global warming. Coming to Enable Us on Thu…
1	6387	@girlwriteswhat @tabularasaTonyB @HoneyBadgerBite @Oneiorosgrip Like say... global warming? Of course, the Patriarc… https://t.co/MzjLPaIrIU
1	237	@Nighthaven4 My biggest wish,is for there to be a good future,right now we are improving society,but with problems… https://t.co/IWIySzTRfu
1	4924	"RT @ADevotedYogi: You dont say? Betcha someone blew a gasket off this post!

'Father of Global Warming' Scientist Finally Admits Theory Is…"
1	320	Yes, I've heard of global warming or warning or whatever, but I mean, if you take away my plastic straws, what am I… https://t.co/c9frxuKrSc
1	610	micheal jackson tried for warn us about global warming w/ the earth song &amp; we ignored him 🥺
1	6010	@Kenneth72712993 @Willard1951 @rln_nelson @ElQuesoSabio @chimera414 @StormSignalSA @saunatonttu3 @ClimatePoet… https://t.co/8nOiekQQSg
1	6540	RT @Wasim_Wazir: What is PTI's policy for global warming/climate change? Can anyone share the link please
1	4826	"RT @Lcars24: The concept of global warming was created by and for the Chinese to make U.S. manufacturing noncompetitive. 
—Donald J. Trump,…"
1	4734	RT @quick_philip: #cabernet never really gets the ripeness in #moldova but global warming🌎📛 in the last few years has meant we are seeing C…
1	1431	RT @LarrySchweikart: Stuart Varney: Trump speech in natural gas-rich state may turn the tables on Democrats https://t.co/3JxDYzNKeG #FoxNew…
1	4712	"RT @ClimateReality: The ball is in our court to do something about the #ClimateCrisis.  
https://t.co/2RPuuOtkrf https://t.co/J16gCprf2w"
1	7	RT @climatecosts: Exxon knew for more than 50 years that their products were causing global warming. Instead of warning the public, they sp…
1	3808	RT @NASAClimate: While a growing Greenland glacier may seem like good news, there’s no evidence it means global warming is slowing down. ht…
1	6011	RT @mentalmal1: @patfrr @PGeierwally @Fixiefreaky @SpurglyDurglish @EDavidAn @Anthony_James_X @FredFoxyGuy @mark_melbin @brjma @GillesnFio…
1	2215	RT @climatecosts: Exxon knew for more than 50 years that their products were causing global warming. Instead of warning the public, they sp…
1	5470	@primalpoly The idea that global warming is a liberal hoax is a piece of Islamic jihad war propaganda that is finan… https://t.co/fsWYLcf5vY
1	7640	RT @Chris_C_Horner: Exxon is charged with being too alarmist in public about the risk of global warming. https://t.co/QSQGxjqftF via @WSJ
2	1647	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1832	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2428	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	606	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1896	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	3568	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2694	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	9467	@visakanv Layers. Your first stop should be uniqlo heat tech stuff. Then regular clothes. Then jacket/coat. Also sc… https://t.co/TGsx7Hnvmr
2	3709	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2637	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	4777	@adrienneriddell @p_hannam The facts are clear Adrienne. All the forecasts of global warming since 1998 have under… https://t.co/Ox1fQGihtN
2	2826	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	7863	"RT @I__LOVE_TRUMP: ""Hilarious...like those who lecture us on global warming while flying everywhere on private jets ..."" -k https://t.co/fB…"
2	1265	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1613	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2664	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1887	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	142	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	345	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1846	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	227	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	3220	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2561	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	8784	"@Lahi_PH @gpph ""Plant-based food represents our advocacy. Shifting our diets is aligned with our efforts to enhance… https://t.co/15YPPJ7aRY"
2	3704	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
3	9829	RT @thegwpfcom: Another Climate Scare Debunked: Great Barrier Reef In Good Shape, Has ‘Vibrant Future’, Reef Authority Says - The Global Wa…
3	8318	RT @nytclimate: From @NYTOpinion: We’re not in this climate mess because we heat our homes or drive cars, which is what fossil fuel compani…
3	2400	"BREAKING: ELECTION RESULTS IN THE CLIMATE CRISIS WAR:

#LPC #CPC_HQ #NDP #GPC:    0

Global Greenhouse Warming:      1.5+"
